,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,average_heartrate,average_cadence,elev_high,elev_low,gear_id
0,8517792446,Treadmill ,2023-02-06T15:35:19Z,Run,10242.8,3008,3008,0,[],130.9,85.5,1337.0,1332.8,g9558973
1,8515121591,Morning Yoga,2023-02-06T07:04:48Z,Yoga,0.0,1293,1293,0,[],68.8,,,,
2,8512549835,Treadmill ,2023-02-05T15:12:59Z,Run,6463.8,2187,2187,0,[],116.8,85.0,,,g9558973
3,8501636441,RUFA,2023-02-03T19:00:02Z,Run,33364.4,18363,19339,2515.0,"[40.6977161206305, -111.74283963628113]",142.7,73.0,2512.8,1743.4,g12058101
4,8493247174,Morning Trail Run,2023-02-02T06:26:07Z,Run,13803.4,5107,5345,485.0,"[40.77960739843547, -111.88554346561432]",134.9,89.3,1770.6,1358.2,g12058101
5,8484734167,Afternoon Trail Run,2023-01-31T14:13:57Z,Run,11808.9,5443,5602,586.0,"[40.7540968246758, -111.82563548907638]",124.3,83.0,1926.6,1472.8,g12058101
6,8482147796,Morning Yoga,2023-01-31T07:14:52Z,Yoga,0.0,1833,1833,0,[],77.2,,,,
7,8472354683,Morning Trail Run,2023-01-29T07:30:18Z,Run,10374.6,5224,5375,755.0,"[40.77043675817549, -111.83189853094518]",129.2,82.2,1917.2,1532.2,g12058101
8,8468751566,Evening Rock Climb,2023-01-28T18:42:21Z,RockClimbing,0.0,3833,3833,0,[],83.7,,,,
9,8466801413,Morning Trail Run,2023-01-28T08:11:18Z,Run,17722.8,7518,7761,634.0,"[40.72019630111754, -111.80531306192279]",121.9,84.5,1787.6,1556.8,g12058101
10,8461193628,Morning Trail Run,2023-01-27T08:35:58Z,Run,15375.6,7002,7057,784.0,"[40.69747840985656, -111.73998593352735]",127.1,85.9,2148.6,1758.6,g12058101
11,8457631663,Afternoon Run,2023-01-26T15:38:29Z,Run,6679.9,2725,2901,215.0,"[40.86469427682459, -111.83808135800064]",121.5,85.3,1808.2,1597.8,g12058101
12,8452392846,Afternoon Trail Run,2023-01-25T15:03:17Z,Run,9081.8,5078,5240,676.0,"[40.76190917752683, -111.82378971017897]",136.2,73.8,2171.6,1510.6,g10644275
13,8444066657,Morning Run,2023-01-24T06:04:47Z,Run,12929.7,3841,3883,15.0,"[40.79381707124412, -111.93467885255814]",152.3,90.6,1288.6,1280.8,g12058101
14,8438755880,Morning Yoga,2023-01-23T06:54:05Z,Yoga,0.0,1599,1599,0,[],65.9,,,,
15,8434772098,Morning Trail Run,2023-01-22T08:04:44Z,Run,13763.0,5914,6010,463.0,"[40.77816965058446, -111.85062596574426]",117.9,86.2,1843.8,1476.4,g12058101
16,8429702549,Morning Trail Run,2023-01-21T10:04:41Z,Run,11047.5,6221,6826,810.0,"[40.69759483449161, -111.73996523022652]",131.8,70.9,2531.4,1721.0,g12058101
17,8424209863,Lunch Run,2023-01-20T12:02:49Z,Run,24249.5,6687,6693,55.0,"[40.79381799325347, -111.93470777012408]",157.6,88.6,1290.0,1281.4,g9558973
18,8417421492,Morning Yoga,2023-01-19T06:52:55Z,Yoga,0.0,1339,1339,0,[],68.3,,,,
19,8414782429,Afternoon Trail Run,2023-01-18T15:08:33Z,Run,8656.6,4511,4613,471.0,"[40.76217429712415, -111.82401015423238]",129.0,74.6,1924.0,1511.8,g12058101
20,8406440366,Morning Run,2023-01-17T06:03:54Z,Run,9058.0,2867,2879,10.0,"[40.79375605098903, -111.93460006266832]",135.2,88.8,1288.2,1282.2,g10644275
21,8403457609,Treadmill ,2023-01-16T14:04:02Z,Run,8912.8,3024,3024,0,[],133.3,87.6,1288.6,1285.0,g9558973
22,8402057894,Morning Hike,2023-01-16T09:10:47Z,Hike,1906.2,2078,2851,96.0,"[40.84648568183184, -111.85413580387831]",86.7,53.9,1775.0,1691.4,g8687054
23,8433482749,Missing Treadmill Vert,2023-01-16T05:30:00Z,Run,80.5,10,10,457.2,[],,,,,g9558973
24,8398335250,Lunch Run,2023-01-15T11:42:07Z,Run,13149.0,5179,5241,384.0,"[40.86485872976482, -111.83856449089944]",127.8,86.1,1912.4,1587.8,g12058101
25,8391235618,Morning Trail Run,2023-01-14T06:59:59Z,Run,17213.0,6645,6816,457.0,"[40.8649271260947, -111.83859969489276]",135.3,87.8,1911.4,1590.6,g10644275
26,8387221411,Afternoon Hike,2023-01-13T15:14:08Z,Hike,1005.3,844,859,1.0,"[40.79377834685147, -111.93461020477116]",73.0,55.4,1287.4,1286.0,g10053422
27,8386950145,Lunch Trail Run,2023-01-13T12:30:05Z,Run,9857.9,4998,5243,687.0,"[40.76229860074818, -111.82414744980633]",133.7,76.5,2170.6,1520.4,g12058101
28,8382538318,Afternoon Trail Run,2023-01-12T14:37:29Z,Run,12217.7,4872,4989,383.0,"[40.784215182065964, -111.89275357872248]",134.5,85.5,1668.8,1358.8,g11856015
29,8385870663,Missing Treadmill Vert,2023-01-10T08:50:00Z,Run,16.1,5,5,304.8,[],,,,,g10053422
30,8369298405,Treadmill ,2023-01-10T07:44:46Z,Run,8091.7,2645,2645,0,[],132.9,88.1,1293.8,1286.8,g9558973
31,8363978925,Morning Trail Run,2023-01-09T07:21:16Z,Run,12586.6,4920,5077,359.0,"[40.8639841619879, -111.83680496178567]",136.2,87.0,1948.0,1608.2,g10644275
32,8347553900,Morning Yoga,2023-01-06T07:32:05Z,Yoga,0.0,1060,1060,0,[],72.5,,,,
33,8344139510,Lunch Trail Run,2023-01-05T12:21:47Z,Run,12108.0,6424,6734,729.0,"[40.75412808917463, -111.82550908997655]",139.5,74.6,2177.8,1476.6,g12058101
34,8339566448,Afternoon Run,2023-01-04T15:57:21Z,Run,12916.9,3518,3518,233.0,"[40.77961443923414, -111.88556374982]",150.6,90.6,1610.8,1393.6,g10369972
35,8336662660,Morning Yoga,2023-01-04T06:33:38Z,Yoga,0.0,1013,1013,0,[],67.8,,,,
36,8327067373,Morning Beach Yog,2023-01-02T07:47:30Z,Run,3401.1,1480,1810,11.0,"[45.608320562168956, -123.94563848152757]",119.2,84.2,4.4,-0.6,g12058101
37,8323121591,Afternoon Hike,2023-01-01T14:24:27Z,Hike,607.4,798,905,8.0,"[45.60826130211353, -123.94572146236897]",85.8,50.9,6.4,-3.2,g10053422
38,8322623362,Lunch Trail Run,2023-01-01T11:27:32Z,Run,8418.2,4270,5037,484.0,"[45.74088681489229, -123.93414161168039]",116.6,81.0,489.6,198.0,g12058101
39,8318701337,Afternoon Hike,2022-12-31T15:18:37Z,Hike,2126.4,2514,3268,7.0,"[45.60822953470051, -123.94543580710888]",75.7,52.2,7.8,1.6,g10053422
40,8318319763,Lunch Trail Run,2022-12-31T11:22:37Z,Run,10384.3,5147,5870,378.0,"[45.76297212392092, -123.95634401589632]",112.9,82.2,172.6,25.2,g12058101
41,8322856937,Morning Hike,2022-12-31T08:31:39Z,Hike,2495.3,3024,3576,28.0,"[45.608238419517875, -123.94564904272556]",72.2,52.4,4.4,-6.0,g10053422
42,8312910856,Morning Trail Run,2022-12-30T10:40:56Z,Run,10196.6,3815,4076,428.0,"[45.61477613635361, -123.93076714128256]",127.0,85.7,345.6,28.6,g12058101
